Multiplier,0,,Dimensions,19,,Dim Range,100,,Perplexity,Calculated,,Batch Size,50,,PPC,50,,Step,1
Raw Model,1,60332.5992627704,10.0075,5/1/2019 12:52:01 PM,Best SSE,Mean SSE,Stdev SSE,Iters,Stdev Iters,Avg Dead, Stdev Dead,Avg Small, Stdev Small,Avg Pts,Stdev Pts,Avg C-SSE,Stdev C-SSE,Avg Rep,Stddev Rep,Avg All,Stdev All
RANDOM,2,2,50,5/1/2019 12:52:01 PM,60332.60,280418.24,293447.52,2.40,0.49,0.36,0.48,0.00,0.00,100.00,NaN,280418.24,291458.33,0.00,0.00,0.00,0.00
CLUSTER,2,2,50,5/1/2019 12:52:01 PM,60332.60,60332.60,0.00,2.06,0.24,0.00,0.00,0.00,0.00,100.00,NaN,60332.60,NaN,0.00,0.00,0.00,0.00
MaxSumK,2,2,50,5/1/2019 12:52:01 PM,60332.60,60332.60,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,60332.60,NaN,0.00,0.00,0.00,0.00
MaxiMinK,2,2,50,5/1/2019 12:52:01 PM,60332.60,60332.60,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,60332.60,NaN,0.00,0.00,0.00,0.00
CCCM-R m1,2,2,50,5/1/2019 12:52:01 PM,60332.60,60332.60,0.00,2.36,0.48,0.00,0.00,0.00,0.00,100.00,NaN,60332.60,NaN,0.00,0.00,0.00,0.00
CCCM-Min m1,2,2,50,5/1/2019 12:52:01 PM,60332.60,60332.60,0.00,2.46,0.50,0.00,0.00,0.00,0.00,100.00,NaN,60332.60,NaN,0.00,0.00,0.00,0.00
CCCM-R m2,2,2,50,5/1/2019 12:52:01 PM,60332.60,60332.60,0.00,2.12,0.32,0.00,0.00,0.00,0.00,100.00,NaN,60332.60,NaN,0.00,0.00,0.00,0.00
CCCM-Min m2,2,2,50,5/1/2019 12:52:01 PM,60332.60,60332.60,0.00,2.06,0.24,0.00,0.00,0.00,0.00,100.00,NaN,60332.60,NaN,0.00,0.00,0.00,0.00
CCCM-R m3,2,2,50,5/1/2019 12:52:01 PM,60332.60,60332.60,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,60332.60,NaN,0.00,0.00,0.00,0.00
CCCM-Min m3,2,2,50,5/1/2019 12:52:01 PM,60332.60,60332.60,0.00,2.12,0.32,0.00,0.00,0.00,0.00,100.00,NaN,60332.60,NaN,0.00,0.00,0.00,0.00
CCCM-R m4,2,2,50,5/1/2019 12:52:01 PM,60332.60,60332.60,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,60332.60,NaN,0.00,0.00,0.00,0.00
CCCM-Min m4,2,2,50,5/1/2019 12:52:01 PM,60332.60,60332.60,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,60332.60,NaN,0.00,0.00,0.00,0.00
CCCM-R m5,2,2,50,5/1/2019 12:52:01 PM,60332.60,60332.60,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,60332.60,NaN,0.00,0.00,0.00,0.00
CCCM-Min m5,2,2,50,5/1/2019 12:52:01 PM,60332.60,60332.60,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,60332.60,NaN,0.00,0.00,0.00,0.00
CCCM-R m6,2,2,50,5/1/2019 12:52:01 PM,60332.60,60332.60,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,60332.60,NaN,0.00,0.00,0.00,0.00
CCCM-Min m6,2,2,50,5/1/2019 12:52:01 PM,60332.60,60332.60,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,60332.60,NaN,0.00,0.00,0.00,0.00
CCCM-R m7,2,2,50,5/1/2019 12:52:01 PM,60332.60,60332.60,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,60332.60,NaN,0.00,0.00,0.00,0.00
CCCM-Min m7,2,2,50,5/1/2019 12:52:01 PM,60332.60,60332.60,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,60332.60,NaN,0.00,0.00,0.00,0.00
CCCM-MxMn m7,2,2,50,5/1/2019 12:52:01 PM,60332.60,60332.60,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,60332.60,NaN,0.00,0.00,0.00,0.00
Raw Model,1,61459.3829932896,182.6284,5/1/2019 12:52:01 PM,Best SSE,Mean SSE,Stdev SSE,Iters,Stdev Iters,Avg Dead, Stdev Dead,Avg Small, Stdev Small,Avg Pts,Stdev Pts,Avg C-SSE,Stdev C-SSE,Avg Rep,Stddev Rep,Avg All,Stdev All
RANDOM,2,2,50,5/1/2019 12:52:01 PM,61459.38,477827.07,451123.02,2.28,0.45,0.46,0.50,0.00,0.00,100.00,NaN,477827.07,449991.27,0.00,0.00,0.00,0.00
CLUSTER,2,2,50,5/1/2019 12:52:02 PM,61459.38,61459.38,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,61459.38,NaN,0.00,0.00,0.00,0.00
MaxSumK,2,2,50,5/1/2019 12:52:02 PM,61459.38,61459.38,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,61459.38,NaN,0.00,0.00,0.00,0.00
MaxiMinK,2,2,50,5/1/2019 12:52:02 PM,61459.38,61459.38,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,61459.38,NaN,0.00,0.00,0.00,0.00
CCCM-R m1,2,2,50,5/1/2019 12:52:02 PM,61459.38,61459.38,NaN,2.50,0.50,0.00,0.00,0.00,0.00,100.00,NaN,61459.38,NaN,0.00,0.00,0.00,0.00
CCCM-Min m1,2,2,50,5/1/2019 12:52:02 PM,61459.38,61459.38,NaN,2.42,0.49,0.00,0.00,0.00,0.00,100.00,NaN,61459.38,NaN,0.00,0.00,0.00,0.00
CCCM-R m2,2,2,50,5/1/2019 12:52:02 PM,61459.38,61459.38,NaN,2.16,0.37,0.00,0.00,0.00,0.00,100.00,NaN,61459.38,NaN,0.00,0.00,0.00,0.00
CCCM-Min m2,2,2,50,5/1/2019 12:52:02 PM,61459.38,61459.38,NaN,2.14,0.35,0.00,0.00,0.00,0.00,100.00,NaN,61459.38,NaN,0.00,0.00,0.00,0.00
CCCM-R m3,2,2,50,5/1/2019 12:52:02 PM,61459.38,61459.38,NaN,2.06,0.24,0.00,0.00,0.00,0.00,100.00,NaN,61459.38,NaN,0.00,0.00,0.00,0.00
CCCM-Min m3,2,2,50,5/1/2019 12:52:02 PM,61459.38,61459.38,NaN,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,61459.38,NaN,0.00,0.00,0.00,0.00
CCCM-R m4,2,2,50,5/1/2019 12:52:02 PM,61459.38,61459.38,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,61459.38,NaN,0.00,0.00,0.00,0.00
CCCM-Min m4,2,2,50,5/1/2019 12:52:02 PM,61459.38,61459.38,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,61459.38,NaN,0.00,0.00,0.00,0.00
CCCM-R m5,2,2,50,5/1/2019 12:52:02 PM,61459.38,61459.38,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,61459.38,NaN,0.00,0.00,0.00,0.00
CCCM-Min m5,2,2,50,5/1/2019 12:52:02 PM,61459.38,61459.38,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,61459.38,NaN,0.00,0.00,0.00,0.00
CCCM-R m6,2,2,50,5/1/2019 12:52:02 PM,61459.38,61459.38,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,61459.38,NaN,0.00,0.00,0.00,0.00
CCCM-Min m6,2,2,50,5/1/2019 12:52:02 PM,61459.38,61459.38,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,61459.38,NaN,0.00,0.00,0.00,0.00
CCCM-R m7,2,2,50,5/1/2019 12:52:02 PM,61459.38,61459.38,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,61459.38,NaN,0.00,0.00,0.00,0.00
CCCM-Min m7,2,2,50,5/1/2019 12:52:02 PM,61459.38,61459.38,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,61459.38,NaN,0.00,0.00,0.00,0.00
CCCM-MxMn m7,2,2,50,5/1/2019 12:52:02 PM,61459.38,61459.38,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,61459.38,NaN,0.00,0.00,0.00,0.00
Raw Model,1,63778.4956918957,169.1195,5/1/2019 12:52:02 PM,Best SSE,Mean SSE,Stdev SSE,Iters,Stdev Iters,Avg Dead, Stdev Dead,Avg Small, Stdev Small,Avg Pts,Stdev Pts,Avg C-SSE,Stdev C-SSE,Avg Rep,Stddev Rep,Avg All,Stdev All
RANDOM,2,2,50,5/1/2019 12:52:02 PM,63778.50,356883.97,239319.61,2.32,0.47,0.60,0.49,0.00,0.00,100.00,NaN,356883.97,237615.43,0.00,0.00,0.00,0.00
CLUSTER,2,2,50,5/1/2019 12:52:02 PM,63778.50,63778.50,0.00,2.12,0.32,0.00,0.00,0.00,0.00,100.00,NaN,63778.50,NaN,0.00,0.00,0.00,0.00
MaxSumK,2,2,50,5/1/2019 12:52:02 PM,63778.50,63778.50,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,63778.50,NaN,0.00,0.00,0.00,0.00
MaxiMinK,2,2,50,5/1/2019 12:52:02 PM,63778.50,63778.50,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,63778.50,NaN,0.00,0.00,0.00,0.00
CCCM-R m1,2,2,50,5/1/2019 12:52:02 PM,63778.50,63778.50,0.00,2.46,0.50,0.00,0.00,0.00,0.00,100.00,NaN,63778.50,NaN,0.00,0.00,0.00,0.00
CCCM-Min m1,2,2,50,5/1/2019 12:52:02 PM,63778.50,63778.50,0.00,2.62,0.52,0.00,0.00,0.00,0.00,100.00,NaN,63778.50,NaN,0.00,0.00,0.00,0.00
CCCM-R m2,2,2,50,5/1/2019 12:52:02 PM,63778.50,63778.50,0.00,2.10,0.30,0.00,0.00,0.00,0.00,100.00,NaN,63778.50,NaN,0.00,0.00,0.00,0.00
CCCM-Min m2,2,2,50,5/1/2019 12:52:02 PM,63778.50,63778.50,0.00,2.06,0.24,0.00,0.00,0.00,0.00,100.00,NaN,63778.50,NaN,0.00,0.00,0.00,0.00
CCCM-R m3,2,2,50,5/1/2019 12:52:02 PM,63778.50,63778.50,0.00,2.04,0.20,0.00,0.00,0.00,0.00,100.00,NaN,63778.50,NaN,0.00,0.00,0.00,0.00
CCCM-Min m3,2,2,50,5/1/2019 12:52:02 PM,63778.50,63778.50,0.00,2.04,0.20,0.00,0.00,0.00,0.00,100.00,NaN,63778.50,NaN,0.00,0.00,0.00,0.00
CCCM-R m4,2,2,50,5/1/2019 12:52:02 PM,63778.50,63778.50,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,63778.50,NaN,0.00,0.00,0.00,0.00
CCCM-Min m4,2,2,50,5/1/2019 12:52:02 PM,63778.50,63778.50,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,63778.50,NaN,0.00,0.00,0.00,0.00
CCCM-R m5,2,2,50,5/1/2019 12:52:02 PM,63778.50,63778.50,0.00,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,63778.50,NaN,0.00,0.00,0.00,0.00
CCCM-Min m5,2,2,50,5/1/2019 12:52:02 PM,63778.50,63778.50,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,63778.50,NaN,0.00,0.00,0.00,0.00
CCCM-R m6,2,2,50,5/1/2019 12:52:02 PM,63778.50,63778.50,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,63778.50,NaN,0.00,0.00,0.00,0.00
CCCM-Min m6,2,2,50,5/1/2019 12:52:02 PM,63778.50,63778.50,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,63778.50,NaN,0.00,0.00,0.00,0.00
CCCM-R m7,2,2,50,5/1/2019 12:52:02 PM,63778.50,63778.50,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,63778.50,NaN,0.00,0.00,0.00,0.00
CCCM-Min m7,2,2,50,5/1/2019 12:52:02 PM,63778.50,63778.50,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,63778.50,NaN,0.00,0.00,0.00,0.00
CCCM-MxMn m7,2,2,50,5/1/2019 12:52:02 PM,63778.50,63778.50,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,63778.50,NaN,0.00,0.00,0.00,0.00
Raw Model,1,62535.6765171613,161.1134,5/1/2019 12:52:02 PM,Best SSE,Mean SSE,Stdev SSE,Iters,Stdev Iters,Avg Dead, Stdev Dead,Avg Small, Stdev Small,Avg Pts,Stdev Pts,Avg C-SSE,Stdev C-SSE,Avg Rep,Stddev Rep,Avg All,Stdev All
RANDOM,2,2,50,5/1/2019 12:52:02 PM,62535.68,579974.93,538567.85,2.26,0.44,0.48,0.50,0.00,0.00,100.00,NaN,579974.93,537623.30,0.00,0.00,0.00,0.00
CLUSTER,2,2,50,5/1/2019 12:52:02 PM,62535.68,62535.68,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,62535.68,NaN,0.00,0.00,0.00,0.00
MaxSumK,2,2,50,5/1/2019 12:52:02 PM,62535.68,62535.68,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,62535.68,NaN,0.00,0.00,0.00,0.00
MaxiMinK,2,2,50,5/1/2019 12:52:02 PM,62535.68,62535.68,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,62535.68,NaN,0.00,0.00,0.00,0.00
CCCM-R m1,2,2,50,5/1/2019 12:52:02 PM,62535.68,62535.68,NaN,2.50,0.50,0.00,0.00,0.00,0.00,100.00,NaN,62535.68,NaN,0.00,0.00,0.00,0.00
CCCM-Min m1,2,2,50,5/1/2019 12:52:02 PM,62535.68,62535.68,NaN,2.58,0.53,0.00,0.00,0.00,0.00,100.00,NaN,62535.68,NaN,0.00,0.00,0.00,0.00
CCCM-R m2,2,2,50,5/1/2019 12:52:02 PM,62535.68,62535.68,NaN,2.26,0.44,0.00,0.00,0.00,0.00,100.00,NaN,62535.68,NaN,0.00,0.00,0.00,0.00
CCCM-Min m2,2,2,50,5/1/2019 12:52:02 PM,62535.68,62535.68,NaN,2.14,0.35,0.00,0.00,0.00,0.00,100.00,NaN,62535.68,NaN,0.00,0.00,0.00,0.00
CCCM-R m3,2,2,50,5/1/2019 12:52:02 PM,62535.68,62535.68,NaN,2.06,0.24,0.00,0.00,0.00,0.00,100.00,NaN,62535.68,NaN,0.00,0.00,0.00,0.00
CCCM-Min m3,2,2,50,5/1/2019 12:52:02 PM,62535.68,62535.68,NaN,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,62535.68,NaN,0.00,0.00,0.00,0.00
CCCM-R m4,2,2,50,5/1/2019 12:52:02 PM,62535.68,62535.68,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,62535.68,NaN,0.00,0.00,0.00,0.00
CCCM-Min m4,2,2,50,5/1/2019 12:52:02 PM,62535.68,62535.68,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,62535.68,NaN,0.00,0.00,0.00,0.00
CCCM-R m5,2,2,50,5/1/2019 12:52:02 PM,62535.68,62535.68,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,62535.68,NaN,0.00,0.00,0.00,0.00
CCCM-Min m5,2,2,50,5/1/2019 12:52:02 PM,62535.68,62535.68,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,62535.68,NaN,0.00,0.00,0.00,0.00
CCCM-R m6,2,2,50,5/1/2019 12:52:02 PM,62535.68,62535.68,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,62535.68,NaN,0.00,0.00,0.00,0.00
CCCM-Min m6,2,2,50,5/1/2019 12:52:02 PM,62535.68,62535.68,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,62535.68,NaN,0.00,0.00,0.00,0.00
CCCM-R m7,2,2,50,5/1/2019 12:52:02 PM,62535.68,62535.68,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,62535.68,NaN,0.00,0.00,0.00,0.00
CCCM-Min m7,2,2,50,5/1/2019 12:52:02 PM,62535.68,62535.68,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,62535.68,NaN,0.00,0.00,0.00,0.00
CCCM-MxMn m7,2,2,50,5/1/2019 12:52:02 PM,62535.68,62535.68,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,62535.68,NaN,0.00,0.00,0.00,0.00
Raw Model,1,61137.8927574961,180.6282,5/1/2019 12:52:02 PM,Best SSE,Mean SSE,Stdev SSE,Iters,Stdev Iters,Avg Dead, Stdev Dead,Avg Small, Stdev Small,Avg Pts,Stdev Pts,Avg C-SSE,Stdev C-SSE,Avg Rep,Stddev Rep,Avg All,Stdev All
RANDOM,2,2,50,5/1/2019 12:52:02 PM,61137.89,361566.93,325506.65,2.28,0.45,0.46,0.50,0.00,0.00,100.00,NaN,361566.93,323953.05,0.00,0.00,0.00,0.00
CLUSTER,2,2,50,5/1/2019 12:52:02 PM,61137.89,61137.89,0.00,2.06,0.24,0.00,0.00,0.00,0.00,100.00,NaN,61137.89,NaN,0.00,0.00,0.00,0.00
MaxSumK,2,2,50,5/1/2019 12:52:02 PM,61137.89,61137.89,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,61137.89,NaN,0.00,0.00,0.00,0.00
MaxiMinK,2,2,50,5/1/2019 12:52:02 PM,61137.89,61137.89,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,61137.89,NaN,0.00,0.00,0.00,0.00
CCCM-R m1,2,2,50,5/1/2019 12:52:02 PM,61137.89,61137.89,0.00,2.50,0.50,0.00,0.00,0.00,0.00,100.00,NaN,61137.89,NaN,0.00,0.00,0.00,0.00
CCCM-Min m1,2,2,50,5/1/2019 12:52:02 PM,61137.89,61137.89,0.00,2.42,0.49,0.00,0.00,0.00,0.00,100.00,NaN,61137.89,NaN,0.00,0.00,0.00,0.00
CCCM-R m2,2,2,50,5/1/2019 12:52:02 PM,61137.89,61137.89,0.00,2.10,0.30,0.00,0.00,0.00,0.00,100.00,NaN,61137.89,NaN,0.00,0.00,0.00,0.00
CCCM-Min m2,2,2,50,5/1/2019 12:52:02 PM,61137.89,61137.89,0.00,2.04,0.20,0.00,0.00,0.00,0.00,100.00,NaN,61137.89,NaN,0.00,0.00,0.00,0.00
CCCM-R m3,2,2,50,5/1/2019 12:52:02 PM,61137.89,61137.89,0.00,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,61137.89,NaN,0.00,0.00,0.00,0.00
CCCM-Min m3,2,2,50,5/1/2019 12:52:02 PM,61137.89,61137.89,0.00,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,61137.89,NaN,0.00,0.00,0.00,0.00
CCCM-R m4,2,2,50,5/1/2019 12:52:02 PM,61137.89,61137.89,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,61137.89,NaN,0.00,0.00,0.00,0.00
CCCM-Min m4,2,2,50,5/1/2019 12:52:02 PM,61137.89,61137.89,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,61137.89,NaN,0.00,0.00,0.00,0.00
CCCM-R m5,2,2,50,5/1/2019 12:52:02 PM,61137.89,61137.89,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,61137.89,NaN,0.00,0.00,0.00,0.00
CCCM-Min m5,2,2,50,5/1/2019 12:52:02 PM,61137.89,61137.89,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,61137.89,NaN,0.00,0.00,0.00,0.00
CCCM-R m6,2,2,50,5/1/2019 12:52:02 PM,61137.89,61137.89,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,61137.89,NaN,0.00,0.00,0.00,0.00
CCCM-Min m6,2,2,50,5/1/2019 12:52:02 PM,61137.89,61137.89,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,61137.89,NaN,0.00,0.00,0.00,0.00
CCCM-R m7,2,2,50,5/1/2019 12:52:02 PM,61137.89,61137.89,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,61137.89,NaN,0.00,0.00,0.00,0.00
CCCM-Min m7,2,2,50,5/1/2019 12:52:02 PM,61137.89,61137.89,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,61137.89,NaN,0.00,0.00,0.00,0.00
CCCM-MxMn m7,2,2,50,5/1/2019 12:52:02 PM,61137.89,61137.89,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,61137.89,NaN,0.00,0.00,0.00,0.00
Raw Model,1,63817.0188273895,196.1382,5/1/2019 12:52:02 PM,Best SSE,Mean SSE,Stdev SSE,Iters,Stdev Iters,Avg Dead, Stdev Dead,Avg Small, Stdev Small,Avg Pts,Stdev Pts,Avg C-SSE,Stdev C-SSE,Avg Rep,Stddev Rep,Avg All,Stdev All
RANDOM,2,2,50,5/1/2019 12:52:02 PM,63817.02,350897.33,206049.19,2.16,0.37,0.66,0.47,0.00,0.00,100.00,NaN,350897.33,204363.32,0.00,0.00,0.00,0.00
CLUSTER,2,2,50,5/1/2019 12:52:02 PM,63817.02,63817.02,NaN,2.06,0.24,0.00,0.00,0.00,0.00,100.00,NaN,63817.02,NaN,0.00,0.00,0.00,0.00
MaxSumK,2,2,50,5/1/2019 12:52:02 PM,63817.02,63817.02,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,63817.02,NaN,0.00,0.00,0.00,0.00
MaxiMinK,2,2,50,5/1/2019 12:52:02 PM,63817.02,63817.02,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,63817.02,NaN,0.00,0.00,0.00,0.00
CCCM-R m1,2,2,50,5/1/2019 12:52:02 PM,63817.02,63817.02,NaN,2.46,0.50,0.00,0.00,0.00,0.00,100.00,NaN,63817.02,NaN,0.00,0.00,0.00,0.00
CCCM-Min m1,2,2,50,5/1/2019 12:52:02 PM,63817.02,63817.02,NaN,2.44,0.50,0.00,0.00,0.00,0.00,100.00,NaN,63817.02,NaN,0.00,0.00,0.00,0.00
CCCM-R m2,2,2,50,5/1/2019 12:52:02 PM,63817.02,63817.02,NaN,2.12,0.32,0.00,0.00,0.00,0.00,100.00,NaN,63817.02,NaN,0.00,0.00,0.00,0.00
CCCM-Min m2,2,2,50,5/1/2019 12:52:02 PM,63817.02,63817.02,NaN,2.06,0.24,0.00,0.00,0.00,0.00,100.00,NaN,63817.02,NaN,0.00,0.00,0.00,0.00
CCCM-R m3,2,2,50,5/1/2019 12:52:02 PM,63817.02,63817.02,NaN,2.04,0.20,0.00,0.00,0.00,0.00,100.00,NaN,63817.02,NaN,0.00,0.00,0.00,0.00
CCCM-Min m3,2,2,50,5/1/2019 12:52:02 PM,63817.02,63817.02,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,63817.02,NaN,0.00,0.00,0.00,0.00
CCCM-R m4,2,2,50,5/1/2019 12:52:02 PM,63817.02,63817.02,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,63817.02,NaN,0.00,0.00,0.00,0.00
CCCM-Min m4,2,2,50,5/1/2019 12:52:02 PM,63817.02,63817.02,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,63817.02,NaN,0.00,0.00,0.00,0.00
CCCM-R m5,2,2,50,5/1/2019 12:52:02 PM,63817.02,63817.02,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,63817.02,NaN,0.00,0.00,0.00,0.00
CCCM-Min m5,2,2,50,5/1/2019 12:52:02 PM,63817.02,63817.02,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,63817.02,NaN,0.00,0.00,0.00,0.00
CCCM-R m6,2,2,50,5/1/2019 12:52:02 PM,63817.02,63817.02,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,63817.02,NaN,0.00,0.00,0.00,0.00
CCCM-Min m6,2,2,50,5/1/2019 12:52:02 PM,63817.02,63817.02,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,63817.02,NaN,0.00,0.00,0.00,0.00
CCCM-R m7,2,2,50,5/1/2019 12:52:02 PM,63817.02,63817.02,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,63817.02,NaN,0.00,0.00,0.00,0.00
CCCM-Min m7,2,2,50,5/1/2019 12:52:02 PM,63817.02,63817.02,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,63817.02,NaN,0.00,0.00,0.00,0.00
CCCM-MxMn m7,2,2,50,5/1/2019 12:52:02 PM,63817.02,63817.02,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,63817.02,NaN,0.00,0.00,0.00,0.00
Raw Model,1,62246.7144772719,187.6328,5/1/2019 12:52:02 PM,Best SSE,Mean SSE,Stdev SSE,Iters,Stdev Iters,Avg Dead, Stdev Dead,Avg Small, Stdev Small,Avg Pts,Stdev Pts,Avg C-SSE,Stdev C-SSE,Avg Rep,Stddev Rep,Avg All,Stdev All
RANDOM,2,2,50,5/1/2019 12:52:02 PM,62246.71,429421.00,352769.64,2.28,0.45,0.52,0.50,0.00,0.00,100.00,NaN,429421.00,351449.30,0.00,0.00,0.00,0.00
CLUSTER,2,2,50,5/1/2019 12:52:02 PM,62246.71,62246.71,0.00,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,62246.71,NaN,0.00,0.00,0.00,0.00
MaxSumK,2,2,50,5/1/2019 12:52:02 PM,62246.71,62246.71,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,62246.71,NaN,0.00,0.00,0.00,0.00
MaxiMinK,2,2,50,5/1/2019 12:52:02 PM,62246.71,62246.71,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,62246.71,NaN,0.00,0.00,0.00,0.00
CCCM-R m1,2,2,50,5/1/2019 12:52:02 PM,62246.71,62246.71,0.00,2.64,0.48,0.00,0.00,0.00,0.00,100.00,NaN,62246.71,NaN,0.00,0.00,0.00,0.00
CCCM-Min m1,2,2,50,5/1/2019 12:52:02 PM,62246.71,62246.71,0.00,2.58,0.49,0.00,0.00,0.00,0.00,100.00,NaN,62246.71,NaN,0.00,0.00,0.00,0.00
CCCM-R m2,2,2,50,5/1/2019 12:52:02 PM,62246.71,62246.71,0.00,2.10,0.30,0.00,0.00,0.00,0.00,100.00,NaN,62246.71,NaN,0.00,0.00,0.00,0.00
CCCM-Min m2,2,2,50,5/1/2019 12:52:02 PM,62246.71,62246.71,0.00,2.06,0.24,0.00,0.00,0.00,0.00,100.00,NaN,62246.71,NaN,0.00,0.00,0.00,0.00
CCCM-R m3,2,2,50,5/1/2019 12:52:02 PM,62246.71,62246.71,0.00,2.04,0.20,0.00,0.00,0.00,0.00,100.00,NaN,62246.71,NaN,0.00,0.00,0.00,0.00
CCCM-Min m3,2,2,50,5/1/2019 12:52:02 PM,62246.71,62246.71,0.00,2.04,0.20,0.00,0.00,0.00,0.00,100.00,NaN,62246.71,NaN,0.00,0.00,0.00,0.00
CCCM-R m4,2,2,50,5/1/2019 12:52:02 PM,62246.71,62246.71,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,62246.71,NaN,0.00,0.00,0.00,0.00
